"gene_names","var_zt","var_ict"
"TNNT3",1.501,1.2774
"ATXN1",1.0709,0.833
"SCAPER",1.45,1.4451
"RYBP",1.2723,1.0267
"POGK",1.6071,1.4831
"EEF1E1",1.3506,1.0793
"STK4",1.2513,1.1309
"FURIN",0.6393,0.4332
"TMEM40",0.7349,0.5959
"PRMT1",1.0502,1.017
"PPP1R15B",0.9316,0.8097
"ATRX",1.881,1.8274
"ID2",0.594,0.7977
"ACSL5",1.6997,1.4206
"UBA52",1.7251,1.6977
"COPS8",1.3185,1.0095
"SF3A1",1.5737,1.4375
"CYCS",0.8114,0.6434
"GGA1",1.1204,1.1572
"C1GALT1C1",1.5875,1.6068
"IFI27",1.2936,1.182
"EIF1AX",0.685,0.4554
"USP25",1.7273,1.672
"BST2",0.7002,0.8421
"UNC45A",1.5853,1.4095
"ATP6AP2",1.7372,1.8296
"GARS",1.2643,1.2652
"BIRC3",0.5147,0.269
"QDPR",0.9185,0.7849
"DKC1",0.7601,0.4855
"MCM3AP",1.0826,1.285
"INTS6",1.574,1.5719
"JAK1",1.5069,1.1649
"SEPHS1",0.6658,0.4996
"ARHGAP33",1.4617,1.3063
"BLNK",1.0802,0.9128
"NPEPL1",0.6631,0.3387
"USP14",0.5175,0.3771
"CBLB",1.5144,1.4278
"GDI1",0.821,0.754
"WDTC1",0.9395,0.7826
"CD59",1.663,1.5808
"SETD4",0.8967,0.9263
"TRIB3",1.3152,1.5038
"GGA2",0.4317,0.3174
"STK39",1.2504,0.9463
"KCTD2",0.7192,0.5115
"EEFSEC",1.5619,1.5742
"BRPF3",1.7267,1.6719
"TNS1",1.1034,0.9454
"BCL7B",1.2921,1.3809
"INPP5D",1.4464,1.1189
"C14orf2",1.5557,1.3859
"TSPAN13",1.7067,1.6062
"CRELD1",1.3064,1.1398
"RALGPS2",1.1924,1.1652
"C11orf57",1.5235,1.2596
"TMEM30A",1.0565,0.8229
"SUPT5H",1.6386,1.9479
"ZCCHC11",0.5886,0.5388
"CDK5R1",1.0624,0.8378
"C9orf16",0.7951,0.789
"ELAVL1",1.1505,0.8797
"FAM136A",0.7825,0.4694
"HYOU1",1.3849,1.187
"FOXN2",1.6835,1.6896
"SRRM1",0.8124,0.7099
"FKBPL",1.5774,1.4835
"UXS1",1.424,1.2915
"SYTL2",1.3847,1.3445
"PSTPIP2",0.5436,0.3431
"RFC2",1.0068,0.8337
"TMEM106A",1.7978,1.3994
"DNLZ",1.3639,1.2646
"LAT",0.3541,0.2474
"HGD",1.1208,0.9416
"GNG5",1.1406,1.1212
"PYGB",1.8185,1.9092
"TOR1B",1.136,1.1455
"GIGYF2",0.8133,0.8605
"UBE3C",1.5898,1.6074
"SNPH",0.6638,0.5686
"GATC",1.1733,1.037
"OSBPL8",1.1947,0.9049
"SLAIN2",1.8457,1.721
"LCP1",1.1134,0.9413
"TSPYL4",0.9025,0.5593
"CEBPG",1.1163,1.0066
"PHF1",1.6596,1.7286
"TMEM43",1.1138,0.867
"HSPA5",0.7965,1.05
"CEP250",1.1269,1.2194
"PRPF38A",1.2889,1.0304
"ARL5A",1.1202,0.9277
"RTN1",1.7178,1.6773
"RAD9A",1.1633,1.0197
"ATL3",0.6917,0.5813
"ZNHIT3",1.2974,1.0026
"ST13",1.4948,1.324
"PGPEP1",1.2234,1.0551
"MAP3K11",0.6569,0.3788
"UXT",1.2004,0.9697
"DERL1",1.3159,1.2005
"PPP1R8",1.3207,1.0837
"BIN2",1.0396,1.0511
"PHOSPHO1",0.6397,0.4027
"CNOT6L",1.5217,1.5338
"PTEN",0.7411,0.6226
"PDCD10",1.3125,1.2345
"ZDHHC3",0.4404,0.3049
"MKRN1",1.2961,1.3029
"PRR14",1.2006,0.9015
"ANKRD28",1.2816,1.1469
"COX6C",1.3518,1.0079
"PGAP2",1.5679,1.5493
"FAM109A",0.9458,0.8225
"RIPK2",1.0803,0.993
"ZBTB3",0.719,0.6581
"FAM134A",1.1605,0.8709
"MAFB",1.7236,1.6484
"MED25",0.7471,0.6001
"R3HDM2",1.3769,1.3701
"STARD3NL",1.5353,1.6054
"GRK5",1.7426,1.8077
"FCRL3",1.1373,0.9176
"RAB4A",1.5413,1.2071
"LONP1",0.6387,0.7055
"MANSC1",0.6705,0.5267
"CBX5",1.5108,1.4559
"PTER",1.2816,1.0826
"YTHDC1",1.1114,0.9181
"PSMD8",1.3468,1.3659
"PAK2",1.697,1.4918
"CYFIP2",1.0796,1.1817
"DDOST",1.3668,1.352
"NFIC",1.408,1.0392
"C11orf80",1.2672,1.3904
"ABCF1",0.9152,1.0926
"BRE",1.4594,1.479
"SLC15A4",0.834,0.5707
"CDKN1A",0.9235,0.7648
"NCALD",1.4825,1.4871
"ANKRD49",1.2038,0.9728
"ACACA",1.5953,1.6515
"ZBTB48",1.3847,1.1892
"SEC11C",1.3429,0.9693
"STMN3",0.2973,0.1277
"MYADM",1.0309,0.8091
"RABAC1",0.9237,0.7034
"STAG2",1.4303,1.598
"SH3TC1",1.469,1.2988
"PQLC3",1.3491,1.0376
"GNAI2",1.2216,1.0649
"ST7L",1.0458,0.9735
"SACM1L",1.8587,1.9456
"GOLGA1",1.4623,1.2966
"MLLT6",1.721,1.8694
"SLC22A15",0.4972,0.4225
"CALM3",1.2995,1.0605
"GABARAPL1",0.6459,0.4611
"ASGR1",1.4812,1.3383
"PPP1R12C",1.0069,0.8451
"ACCS",1.0475,0.972
"KPNA1",0.6039,0.4407
"UCHL3",1.1463,0.8899
"ARF4",1.2498,1.4101
"CYP2S1",1.7289,1.6032
"FAM111A",1.2384,1.1328
"TMEM39A",1.6134,1.6291
"PTPRA",0.7365,0.5502
"TMEM87B",1.5989,1.6335
"NDUFA8",0.683,0.6046
"CBL",0.8386,0.4959
"PRKAR1A",0.8263,0.6031
"COPS7B",1.8204,1.8578
"LZIC",1.1774,0.928
"USO1",1.0844,1.0315
"YPEL5",1.2146,1.1845
"KIAA0355",0.5229,0.3912
"SPI1",0.7382,0.5328
"QSOX2",1.084,1.0819
"VTI1B",1.3569,1.372
"DPYSL2",1.195,1.2883
"SEPT7",1.519,1.4367
"ENOPH1",0.9861,0.6799
"MARVELD1",1.5712,1.4182
"TCF7",0.3316,0.2375
"IL18BP",1.0935,1.1278
